path,git_blob_sha1,sha256,bytes,role,rows
docs/research/INDEX_PRICE_VALIDITY_STUDY_20260911.md,5ee060e7439d21e996bddc67be271ced8f3b1714,6abf040bf1b3bf8072c573af8428c77f98f84634507b348f5af5107f1c7481eb,10668,retained_report_not_new_outcome,
docs/research/R1_INCREMENTAL_ALPHA_PROGRAM_DECISION_20260911.md,0266aa153e3f5190e87241d1e785a374a3e4ab0c,21f6d52dffc700a197a28cda6035457369c1cef227ca5d4c372058fd5fd71012,3750,retained_report_not_new_outcome,
docs/research/R1A_ENDPOINT_METHOD_REVIEW_20260912.md,46be75aef731736c5de870b9b04351447de44e88,e18dfc5f658ac30cfd26e218796223b843429968cf4faad2c08bcad26be48910,7408,retained_report_not_new_outcome,
docs/research/R1A_ENDPOINT_ROBUSTNESS_REVIEW_20260912.md,9a69025433d8dbc9438e940f005e43614adfd0ef,28d3dd3e4164021654278f1df6a9c19c2fc382c4f23f7aeec950d671b9623574,9050,retained_report_not_new_outcome,
docs/research/R1A_CONFIRMATION_FEASIBILITY_REVIEW_20260912.md,00a3ec1efa9d8bb761f3983a22e5ce84ce0fbb9b,ce63206de208b907b9d07057cbcb6be66c5e2e4c3a423bb736210aa520726288,10866,retained_report_not_new_outcome,
docs/research/R1A_METHOD_CALIBRATION_REVIEW_20260912.md,0834e8ae9b5c430c9cb008090249eb5b1d31c218,7a9be5956f2cf0b05c4d700630984347c392c567d3d062553bc20683fd203851,10751,retained_report_not_new_outcome,
docs/research/R1A_DEVELOPMENT_NOISE_REVIEW_20260912.md,56433d8607f3d30cc578b6691d3043de161f6c3c,83b2bd19de451bc89a48c804d0ac4702fe80cf54affb9f3faa4b6e17c0d3ab71,10681,retained_report_not_new_outcome,
docs/research/R1A_CAUSAL_CONTROL_DESIGN_REVIEW_20260912.md,2972409e911284a8bc9321ee320b9b207118b6b1,db87fd7dcc9c8c046df2fceb3a58e1c7e4240b71a6addf28ddf5037293100325,12011,retained_report_not_new_outcome,
docs/research/R1A_WALKFORWARD_PREDICTION_REVIEW_20260912.md,1c2102554db03f939c5b20e74f67217001210c17,5f182807181c449d2832b4d348f44d4a2ed13443ef43d65eccef30a1e508020c,11812,retained_report_not_new_outcome,
docs/ops/evidence/r1a_walkforward_prediction_20260912/receipt.json,,16fb6f95334a9df8951bad3450c7b778a0c2168e57d503c2eb48d2601d237d83,7795,original_receipt,
docs/ops/evidence/r1a_walkforward_prediction_20260912/all_original_event_coverage.csv,,4d09c7ffe3ec8b42466dc4c8abfedfcdcdc978124b3f0075ae169fcf6313452a,714521,sealed_forecast_evidence,12264
docs/ops/evidence/r1a_walkforward_prediction_20260912/daily_loss_accounting.csv,,d1fa5461e0ea336c038883118a1883291ce2f80510bce4feea67b4bb594e3016,397837,sealed_forecast_evidence,8526
docs/ops/evidence/r1a_walkforward_prediction_20260912/event_predictions.csv,,659c8be07a1bf36bd7b2d0f2df16958864c5e14ef491391843e9e7ad37235993,2140946,sealed_forecast_evidence,7749
docs/ops/evidence/r1a_walkforward_prediction_20260912/fold_training_audit.csv,,a8ebe451ddd6c0262d119013eefe2343b963462a24b834a0bd6cc8d8583319b9,6518,sealed_forecast_evidence,35
docs/ops/evidence/r1a_walkforward_prediction_20260912/loss_lag_products.csv,,1fa244b1f182b459f44ad6adab5a46b50cc84e1e9fd793ca30a511cd3837aa4e,2347,sealed_forecast_evidence,35
docs/ops/evidence/r1a_walkforward_prediction_20260912/model_parameters.csv,,37a33ff254817958e6d719ae7a7edaec9cc676b0bca4c062ad822215e0bb898d,120252,sealed_forecast_evidence,1225
docs/ops/evidence/r1a_walkforward_prediction_20260912/prefix_identity_audit.csv,,54374b70cd6477209ac35585404ab1a3946764a094ef46b93b64941ce40ec8fa,341,sealed_forecast_evidence,5
docs/ops/evidence/r1a_walkforward_prediction_20260912/scores.csv,,04750d77dc4d5adb1cde612791e6cbe36b6cfdb8de5a56ec9423575a0e4567b7,96833,sealed_forecast_evidence,252
docs/ops/evidence/r1a_development_noise_20260912/development_pairs.csv,,d8ba8b1a17faaab9d5c562073ca267eeda7163ff10d5673e464777d85e474f3a,564846,original_identity_metadata,
