confirm_idx,entry_idx,exit_idx,horizon_end_idx,parent_sign,option_type,confirm_day,entry_day,exit_day,horizon_day,entry_ts,exit_ts,entry_spot,exit_spot,exit_class,holding_bars,structural_outcome,contract_code,expiry,strike,entry_ask,exit_bid,option_entry_ts,option_exit_ts,net_cny,premium_return,entry_premium_cny,exit_premium_cny,intrinsic_at_entry,time_to_expiry_days,spot_move,status
447577,447578,447609.0,448778,-1,P,2022-09-01,2022-09-01,2022-09-01,2022-09-08,2022-09-01 10:28:00+08:00,2022-09-01 10:59:00+08:00,6763.2,6777.46,temporal_completion,31.0,recovery,MO2209-P-6800,2022-09-16,6800.0,171.4,149.6,2022-09-01 10:28:01.700000+08:00,2022-09-01 10:59:09.700000+08:00,-2208.000000000001,-0.12718786464410736,17140.0,14960.0,36.80000000000018,15.0,0.002108469363614862,completed_two_leg
447705,447706,447803.0,448906,-1,P,2022-09-01,2022-09-01,2022-09-02,2022-09-08,2022-09-01 14:06:00+08:00,2022-09-02 10:13:00+08:00,6732.73,6744.7,temporal_completion,97.0,recovery,MO2209-P-6700,2022-09-16,6700.0,127.8,115.6,2022-09-01 14:06:13.200000+08:00,2022-09-02 10:13:20.200000+08:00,-1248.0000000000002,-0.09546165884194058,12780.0,11560.0,0.0,15.0,0.0017778820775524729,completed_two_leg
447923,447924,448019.0,449124,-1,P,2022-09-02,2022-09-02,2022-09-05,2022-09-09,2022-09-02 13:44:00+08:00,2022-09-05 09:49:00+08:00,6753.88,6787.41,temporal_completion,95.0,failure,MO2209-P-6800,2022-09-16,6800.0,171.4,151.2,2022-09-02 13:45:40.200000+08:00,2022-09-05 09:49:02.800000+08:00,-2048.000000000002,-0.11785297549591611,17140.0,15119.999999999998,46.11999999999989,14.0,0.004964553708386887,completed_two_leg
449026,449027,449229.0,450227,1,C,2022-09-09,2022-09-09,2022-09-13,2022-09-19,2022-09-09 10:37:00+08:00,2022-09-13 09:59:00+08:00,6906.4,6901.99,temporal_completion,202.0,failure,MO2210-C-6900,2022-10-21,6900.0,144.2,143.8,2022-09-09 10:39:10.800000+08:00,2022-09-13 09:59:07.100000+08:00,-67.99999999999773,-0.002773925104022079,14419.999999999998,14380.000000000002,6.399999999999636,42.0,-0.000638538167496816,completed_two_leg
449926,449927,449938.0,451127,-1,P,2022-09-16,2022-09-16,2022-09-16,2022-09-23,2022-09-16 09:37:00+08:00,2022-09-16 09:48:00+08:00,6577.48,6608.75,temporal_completion,11.0,recovery,MO2210-P-6600,2022-10-21,6600.0,220.2,193.2,2022-09-16 09:37:04.700000+08:00,2022-09-16 09:48:05.200000+08:00,-2728.0,-0.12261580381471393,22020.0,19320.0,22.520000000000437,35.0,0.004754100354543045,completed_two_leg
450195,450196,,451396,-1,P,2022-09-19,2022-09-19,,,2022-09-19 10:06:00+08:00,,6439.24,,,,recovery,,,,,,,,,,,,,,,entry_invalid
450291,450292,450366.0,451492,-1,P,2022-09-19,2022-09-19,2022-09-19,2022-09-26,2022-09-19 13:12:00+08:00,2022-09-19 14:26:00+08:00,6399.54,6417.25,temporal_completion,74.0,recovery,MO2210-P-6400,2022-10-21,6400.0,224.8,206.8,2022-09-19 13:12:26.400000+08:00,2022-09-19 14:26:05.900000+08:00,-1828.0,-0.08007117437722422,22480.0,20680.0,0.4600000000000364,32.0,0.002767386405897909,completed_two_leg
450528,450529,450660.0,451729,-1,P,2022-09-20,2022-09-20,2022-09-21,2022-09-27,2022-09-20 13:09:00+08:00,2022-09-21 09:50:00+08:00,6485.9,6429.59,temporal_completion,131.0,recovery,MO2210-P-6500,2022-10-21,6500.0,225.8,249.8,2022-09-20 13:09:09.500000+08:00,2022-09-21 09:50:02.800000+08:00,2372.0,0.1062887511071744,22580.0,24980.0,14.100000000000364,31.0,-0.00868190998936147,completed_two_leg
451280,451281,451317.0,452481,-1,P,2022-09-23,2022-09-23,2022-09-23,2022-09-30,2022-09-23 13:41:00+08:00,2022-09-23 14:17:00+08:00,6415.62,6412.1,temporal_completion,36.0,recovery,MO2210-P-6400,2022-10-21,6400.0,173.2,169.0,2022-09-23 13:41:20.800000+08:00,2022-09-23 14:17:01.300000+08:00,-447.99999999999886,-0.024249422632794393,17320.0,16900.0,0.0,28.0,-0.0005486609244312879,completed_two_leg
451391,451392,451415.0,452592,-1,P,2022-09-26,2022-09-26,2022-09-26,2022-10-10,2022-09-26 10:02:00+08:00,2022-09-26 10:25:00+08:00,6310.34,6360.46,temporal_completion,23.0,recovery,MO2210-P-6300,2022-10-21,6300.0,170.0,137.8,2022-09-26 10:02:02.400000+08:00,2022-09-26 10:25:08.900000+08:00,-3247.999999999999,-0.18941176470588228,17000.0,13780.000000000002,0.0,25.0,0.007942519737446752,completed_two_leg
451624,451625,451634.0,452825,-1,P,2022-09-27,2022-09-27,2022-09-27,2022-10-11,2022-09-27 09:55:00+08:00,2022-09-27 10:04:00+08:00,6300.7,6340.13,temporal_completion,9.0,failure,MO2210-P-6300,2022-10-21,6300.0,166.8,147.0,2022-09-27 09:55:05.700000+08:00,2022-09-27 10:04:03.200000+08:00,-2008.0000000000011,-0.11870503597122306,16680.0,14700.0,0.0,24.0,0.006258034821527758,completed_two_leg
451852,451853,452027.0,453053,-1,P,2022-09-28,2022-09-28,2022-09-28,2022-10-12,2022-09-28 09:43:00+08:00,2022-09-28 14:07:00+08:00,6370.17,6284.99,temporal_completion,174.0,recovery,MO2210-P-6400,2022-10-21,6400.0,177.0,214.2,2022-09-28 09:43:01.800000+08:00,2022-09-28 14:07:01.300000+08:00,3691.999999999999,0.21016949152542375,17700.0,21420.0,29.829999999999927,23.0,-0.013371699656367197,completed_two_leg
452027,452028,452037.0,453228,1,C,2022-09-28,2022-09-28,2022-09-28,2022-10-12,2022-09-28 14:08:00+08:00,2022-09-28 14:17:00+08:00,6292.82,6274.36,parent_failure,9.0,failure,MO2210-C-6300,2022-10-21,6300.0,148.6,136.2,2022-09-28 14:08:01.800000+08:00,2022-09-28 14:17:19.300000+08:00,-1268.0000000000005,-0.08344549125168244,14860.0,13619.999999999998,0.0,23.0,-0.0029335019911581606,completed_two_leg
452152,452153,452300.0,453353,-1,P,2022-09-29,2022-09-29,2022-09-29,2022-10-13,2022-09-29 10:43:00+08:00,2022-09-29 14:40:00+08:00,6263.95,6238.42,temporal_completion,147.0,recovery,MO2210-P-6300,2022-10-21,6300.0,170.8,185.2,2022-09-29 10:43:07.700000+08:00,2022-09-29 14:40:07.700000+08:00,1411.9999999999977,0.08430913348946123,17080.0,18520.0,36.05000000000018,22.0,-0.004075703030835154,completed_two_leg
452323,452324,452405.0,453524,-1,P,2022-09-30,2022-09-30,2022-09-30,2022-10-14,2022-09-30 09:34:00+08:00,2022-09-30 10:55:00+08:00,6210.68,6186.24,temporal_completion,81.0,recovery,MO2210-P-6200,2022-10-21,6200.0,147.4,165.0,2022-09-30 09:34:10.800000+08:00,2022-09-30 10:55:05.800000+08:00,1731.9999999999995,0.11940298507462677,14740.0,16500.0,0.0,21.0,-0.003935156858830391,completed_two_leg
452451,452452,452567.0,453652,-1,P,2022-09-30,2022-09-30,2022-10-10,2022-10-14,2022-09-30 13:12:00+08:00,2022-10-10 09:37:00+08:00,6161.55,6109.14,temporal_completion,115.0,recovery,MO2210-P-6200,2022-10-21,6200.0,184.2,174.2,2022-09-30 13:12:01.300000+08:00,2022-10-10 09:37:05.300000+08:00,-1028.0,-0.05428881650380024,18420.0,17420.0,38.44999999999982,21.0,-0.008505976580568175,completed_two_leg
